financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1986-1987,9/9/1986,,YLTL 437,"YAU SAN ST, YUEN LONG",C/R,commercial_residential_mixed,710,1.43,,high,,,YUEN LONG TOWN LOT NO. 437,N.A.,N.A.,N.A. | N.A. | N.A.,22.44317911,114.0312824,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,9/9/1986,,YLTL 438,"YAU SAN ST, YUEN LONG",C/R,commercial_residential_mixed,760,1.86,,high,,,YUEN LONG TOWN LOT NO. 438,N.A.,N.A.,N.A. | N.A. | N.A.,22.44268193,114.0307195,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/09/1986,auction,KIL 10796,165 ARGYLE ST,R2,residential,1532,31,,high,,,KOWLOON INLAND LOT NO. 10796,N.A.,N.A.,N.A. | N.A. | N.A.,22.32657002,114.187668,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/09/1986,auction,KIL 10795,2 FORFAR RD,R2,residential,3223,83,,high,,,KOWLOON INLAND LOT NO. 10795,N.A.,N.A.,N.A. | N.A. | N.A.,22.32624502,114.1861537,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/09/1986,auction,SIL 799,352-354 SHAUKIWAN RD,C/R,commercial_residential_mixed,123,3.2,,high,,,SHAU KEI WAN INLAND LOT NO. 799,N.A.,N.A.,N.A. | N.A. | N.A.,22.27837549,114.2263215,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,30/09/1986,,LOT 5317 in 51,"DD NEAR KCR STATION, FANLING",R1,residential,22810,56.24,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,11/10/1986,tender,JBTL 6,AREA 4 JUNK BAY,PSPS,residential,22930,172.89,,high,,,JUNK BAY TOWN LOT NO. 6,N.A.,N.A.,N.A. | N.A. | N.A.,22.31960791,114.2531245,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/10/1986,auction,LOT 5346 in 51,DD ON LOK TSUEN,I,industrial,2029,6,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/10/1986,auction,LOT 5347 in 51,DD ON LOK TSUEN,I,industrial,1690,5,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/10/1986,auction,IL 8653,530-540 LOCKHART RD,C/R,commercial_residential_mixed,506,65,,high,,,INLAND LOT NO. 8653,N.A.,N.A.,N.A. | N.A. | N.A.,22.28051048,114.1840038,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,530-540 Lockhart Road (consent to assign the lot to Eastlord Development Ltd),CONSENT TO ASSIGN,Named development,
1986-1987,29/10/1986,auction,IL 8682,SAI NING ST ADJ. TO IL 8678,C/R,commercial_residential_mixed,736,39,,high,,,INLAND LOT NO. 8682,N.A.,N.A.,N.A. | N.A. | N.A.,22.28127216,114.1206823,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,29/10/1986,auction,IL 8658,497-499 HENNESSY RD,C/R,commercial_residential_mixed,197,34,,high,,,INLAND LOT NO. 8658,N.A.,N.A.,N.A. | N.A. | N.A.,22.28030644,114.183065,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
