financial_year,award_date,sale_type,lot_number,location,use,use_category_normalized,site_area_sqm,premium_hkd_m,cancelled,parse_confidence,development_english_name,development_address_english,csdi_lot_number,num_bids,successful_tenderer,other_bidders,latitude,longitude,sale_regime,sale_regime_source,parent_developer,max_gfa,gfa_unit,accommodation_value,av_unit,premium_crosscheck_ok,source_url,note,buyer_normalized,buyer_type,winner_source,maxgfa_source,devm_name_source,gfa_check,min_flat_count,flat_size_restriction,flat_req_special,flat_req_source,flat_req_confidence,consent_development,consent_developer,consent_status,consent_date
1986-1987,19/11/1986,auction,IL 8656,TIN HAU TEMPLE RD,R2,residential,15380,645,,high,,,INLAND LOT NO. 8656,N.A.,N.A.,N.A. | N.A. | N.A.,22.28772756,114.2034142,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Pacific Palisades (units),CONSENT TO ASSIGN,Named development,
1986-1987,19/11/1986,auction,SIL 800,20 NAM ON ST,C/R,commercial_residential_mixed,322,16.1,,high,,,SHAU KEI WAN INLAND LOT NO. 800,N.A.,N.A.,N.A. | N.A. | N.A.,22.27932368,114.2264092,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,19/11/1986,auction,IL 8681,34 NEW MARKET ST,C/R,commercial_residential_mixed,133,3.1,,high,,,INLAND LOT NO. 8681,N.A.,N.A.,N.A. | N.A. | N.A.,22.28733008,114.1494127,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,3/12/1986,tender,NKIL 6023,CHUK YUEN WEST,PSPS,residential,55760,551,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Tsui Chuk Garden (Scheme E) | Tsui Chuk Garden (Scheme E) (residential flats in Blocks 13 & 14) | Tsui Chuk Garden (Scheme E) (residential units in Blocks 13 & 14),APPROVAL OF SUB-DEED OF MUTUAL COVENANT | CONSENT TO ASSIGN FOR RESIDENTIAL DEVELOPMENT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,
1986-1987,8/12/1986,,STTL 268,TOWN CENTRE,C/R,commercial_residential_mixed,3450,8.18,,high,,,SHA TIN TOWN LOT NO. 268,N.A.,N.A.,N.A. | N.A. | N.A.,22.37946208,114.1863709,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Scenery Court,,Named development,N.A.
1986-1987,8/12/1986,,TPTL 59,PLOVER COVE RD,C/R,commercial_residential_mixed,7804,21.78,,high,,,TAI PO TOWN LOT NO. 59,N.A.,N.A.,N.A. | N.A. | N.A.,22.44930395,114.1685292,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Plover Cove Garden (consent to the assign Basement 160 Bicycle Parking Spaces and the Common Areas to Hang Yick Properties Management Ltd),CONSENT TO ASSIGN,Named development,
1986-1987,8/12/1986,,TMTL 302,AREA 10B,R1,residential,2000,3.52,,high,,,TUEN MUN TOWN LOT NO. 302,N.A.,N.A.,N.A. | N.A. | N.A.,22.39832995,113.9769162,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,8/12/1986,,YLTL 439,YAU SAN ST,C/R,commercial_residential_mixed,252,1.29,,high,,,YUEN LONG TOWN LOT NO. 439,N.A.,N.A.,N.A. | N.A. | N.A.,22.44243825,114.0308849,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,8/12/1986,,YLTL 441,SHUI CHE KWUN ST,C/R,commercial_residential_mixed,1120,1.8,,high,,,YUEN LONG TOWN LOT NO. 441,N.A.,N.A.,N.A. | N.A. | N.A.,22.44484967,114.031203,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,8/12/1986,,YLTL 452,SHUI CHE KWUN ST,C/R,commercial_residential_mixed,824,2.35,,high,,,YUEN LONG TOWN LOT NO. 452,N.A.,N.A.,N.A. | N.A. | N.A.,22.444849,114.0304647,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,8/12/1986,,YLTL 454,"TAI CHEUNG ST, YUEN LONG",C/R,commercial_residential_mixed,1023,1.65,,high,,,YUEN LONG TOWN LOT NO. 454,N.A.,N.A.,N.A. | N.A. | N.A.,22.44542716,114.0306972,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,18/12/1986,auction,CWIL 132,CHAI WAN RECLAMATION,I,industrial,3000,51.5,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,18/12/1986,auction,IL 8655,258-262 DES VOEUX RD CENTRAL,C/R,commercial_residential_mixed,210,17.5,,high,,,INLAND LOT NO. 8655,N.A.,N.A.,N.A. | N.A. | N.A.,22.28642109,114.1518302,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,18/12/1986,auction,IL 8657,108-110 DES VOEUX RD WEST,C/R,commercial_residential_mixed,113,6.8,,high,,,INLAND LOT NO. 8657,N.A.,N.A.,N.A. | N.A. | N.A.,22.28764543,114.1454341,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,20/01/1987,tender,TMTL 246,GL NEAR TMGLA 105,PSPS,residential,22240,210,,high,,,TUEN MUN TOWN LOT NO. 246,N.A.,N.A.,N.A. | N.A. | N.A.,22.4033939,113.9751996,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,6/2/1987,tender,LOT 1772 in CHEUNG CHAU,"PACKAGE 4, CHEUNG CHAU",V,residential,190,1.74,,high,,,LOT 1772 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.2056861,114.0279257,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,6/2/1987,tender,LOT 1773 in CHEUNG CHAU,"PACKAGE 4, CHEUNG CHAU",V,residential,125,1.2,,high,,,LOT 1773 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.20553824,114.027291,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/02/1987,auction,LOT 1008 in 215,DD TUI MIN HOI,I,industrial,1094,3.5,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,26/02/1987,auction,STTL 273,SIU LEK YUEN RD,I,industrial,5600,41,,high,,,SHA TIN TOWN LOT NO. 273,N.A.,N.A.,N.A. | N.A. | N.A.,22.38313462,114.2088313,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,10/3/1987,tender,STTL 289,TAI WAI,PSPS,residential,8666,172.8,,high,,,SHA TIN TOWN LOT NO. 289,N.A.,N.A.,N.A. | N.A. | N.A.,22.37368282,114.1778939,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,13/03/1987,,TMTL 277,TOWN CENTRE,C/R,commercial_residential_mixed,2676,7.56,,high,,,TUEN MUN TOWN LOT NO. 277,N.A.,N.A.,N.A. | N.A. | N.A.,22.39451056,113.9773198,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Tuen Mun Town Plaza | Tuen Mun Town Plaza (consent to assign the Commercial Accommodation to The Royal Hong Kong Jockey Club) | Tuen Mun Town Plaza (units),APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT | CONSENT TO ASSIGN | CONSENT TO SELL,Named development,
1986-1987,16/03/1987,,LOT 1007 in 215,DD SAI KUNG TOWN,C/R,commercial_residential_mixed,2059,2.55,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,16/03/1987,,YLTL 434,FUNG CHEUNG ST.,R1,residential,1596,13.71,,high,,,YUEN LONG TOWN LOT NO. 434,N.A.,N.A.,N.A. | N.A. | N.A.,22.44402932,114.0327873,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,16/03/1987,,YLTL 453,KUK TING ST/TAI CHEUNG ST,C/R,commercial_residential_mixed,355,0.51,,high,,,YUEN LONG TOWN LOT NO. 453,N.A.,N.A.,N.A. | N.A. | N.A.,22.44515585,114.0302603,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,16/03/1987,,YLTL 446,ON HONG RD YUEN LONG,C/R,commercial_residential_mixed,680,2.38,,high,,,YUEN LONG TOWN LOT NO. 446,N.A.,N.A.,N.A. | N.A. | N.A.,22.44202516,114.0236286,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Yee Hong Building | Yee Hong Building (residential units),APPROVAL OF DEED OF MUTUAL COVENANT | CONSENT TO SELL FOR RESIDENTIAL DEVELOPMENT,Named development,
1986-1987,16/03/1987,,KCTL 398,KWAI FOO RD & KWAI YAN RD,C/R,commercial_residential_mixed,7890,21.58,,high,,,KWAI CHUNG TOWN LOT NO. 398,N.A.,N.A.,N.A. | N.A. | N.A.,22.3581428,114.1276127,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Kwai Chung Plaza,APPROVAL OF SUB-DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,N.A.
1986-1987,23/03/1987,auction,NKIL 6036,KOWLOON BAY,I,industrial,5487,125,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,23/03/1987,auction,LOT 1197 in 253,DD RAZOR HILL,R3,residential,3800,20.4,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,23/03/1987,auction,CWIL 131,CHAI WAN RECLAMATION,I,industrial,3000,70,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1986-1987,23/03/1987,auction,IL 8651,185 WANCHAI RD,C/R,commercial_residential_mixed,444,27.5,,high,,,INLAND LOT NO. 8651,N.A.,N.A.,N.A. | N.A. | N.A.,22.27736257,114.1779999,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,29/05/1987,auction,CWIL 134,"OFF SUN YIP ST, CHAI WAN",I,industrial,3200,83,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,29/05/1987,auction,IL 8687,"KING'S RD, NORTH POINT",I,industrial,1057,45,,high,,,INLAND LOT NO. 8687,N.A.,N.A.,N.A. | N.A. | N.A.,22.29058395,114.2096857,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,29/05/1987,auction,IL 8667,DES VOEUX RD CENTRAL,C,commercial,2098,840,,high,,,INLAND LOT NO. 8667,N.A.,N.A.,N.A. | N.A. | N.A.,22.28456771,114.1561766,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,24/06/1987,auction,NKIL 6040,FUNG SHING ST,R2,residential,5600,169,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Hilltop Gardens,,Named development,N.A.
1987-1988,24/06/1987,auction,STTL 282,YUEN SHUN CIRCUIT,I,industrial,1776,24,,high,,,SHA TIN TOWN LOT NO. 282,N.A.,N.A.,N.A. | N.A. | N.A.,22.38268323,114.2081029,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,13/07/1987,,STTL 294,TAI CHUNG KIU RD,R2,residential,8100,27.86,,high,,,SHA TIN TOWN LOT NO. 294,N.A.,N.A.,N.A. | N.A. | N.A.,22.39348984,114.207029,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,13/07/1987,,TPTL 25,TAI PO OLD MARKET,R1,residential,4270,18.39,,high,,,TAI PO TOWN LOT NO. 25,N.A.,N.A.,N.A. | N.A. | N.A.,22.45375565,114.1639239,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,13/07/1987,,TMTL 292,TSING YUNG ST,R2,residential,7813,32.47,,high,,,TUEN MUN TOWN LOT NO. 292,N.A.,N.A.,N.A. | N.A. | N.A.,22.37956337,113.9833225,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/07/1987,auction,FSSTL 37 (LOT 5349 in 51),ON LOK TSUEN DD,I,industrial,947,10.3,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/07/1987,auction,IL 8690,TAI HANG DRIVE,R2,residential,1568,77,,high,,,INLAND LOT NO. 8690,N.A.,N.A.,N.A. | N.A. | N.A.,22.27466145,114.1944948,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Gardenview Heights | Gardenview Heights (units),APPROVAL OF DEED OF MUTUAL COVENANT | CONSENT TO SELL,Named development,
1987-1988,18/08/1987,tender,LOT 1775 in CHEUNG CHAU,"PAK SHE, CHEUNG CHAU",I,industrial,435,1.09,,high,,,LOT 1775 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.21238439,114.0265611,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,25/08/1987,tender,LOT 1774 in CHEUNG CHAU,"PACKAGE 4, CHEUNG CHAU",V,residential,300,3.06,,high,,,LOT 1774 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.20535172,114.0273539,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,28/08/1987,tender,STTL 313,TIN SAM ST,PSPS,residential,19490,326.8,,high,,,SHA TIN TOWN LOT NO. 313,N.A.,N.A.,N.A. | N.A. | N.A.,22.3682645,114.1765345,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,28/09/1987,auction,StIL 83,STANLEY MAIN ST,C/R,commercial_residential_mixed,150,12.1,,high,,,STANLEY INLAND LOT NO. 83,N.A.,N.A.,N.A. | N.A. | N.A.,22.21879505,114.2110634,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,28/09/1987,auction,RBL 1088,5 MT KELLETT RD,R3,residential,5952,53,,high,,,RURAL BUILDING LOT NO. 1088,N.A.,N.A.,N.A. | N.A. | N.A.,22.26476278,114.1510859,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,26/10/1987,auction,NKIL 6043,HING WAH ST,C/R,commercial_residential_mixed,4323,168,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,26/10/1987,auction,FSSTL14 (LOT 5334 in DD 51),ON LOK TSUEN,I,industrial,1100,8.7,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 14 (LOT NO. 5334 IN DEMARCATION DISTRICT NO. 51),N.A.,N.A.,N.A. | N.A. | N.A.,22.49162682,114.14602,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,26/10/1987,auction,IL 8688,QUEEN'S GRN. OLD PEAK RD,R2,residential,5818,500,,high,,,INLAND LOT NO. 8688,N.A.,N.A.,N.A. | N.A. | N.A.,22.27600625,114.1531797,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Queen's Garden,APPROVAL OF DEED OF MUTUAL COVENANT AND MANAGEMENT AGREEMENT,Named development,
1987-1988,27/10/1987,tender,LOT 1777 in CHEUNG CHAU,"PACKAGE 3, CHEUNG CHAU",V,residential,260,2.72,,high,,,LOT 1777 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.21210591,114.026473,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/10/1987,tender,LOT 1778 in CHEUNG CHAU,"PACKAGE 3, CHEUNG CHAU",V,residential,235,2.85,,high,,,LOT 1778 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.21201701,114.0265399,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,30/10/1987,tender,FSSTL 1 (LOT 5388 in DD 51),"AREA 6B, SHEK WU HUI",PSPS,residential,20900,230.2,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 1 (LOT NO. 5388 IN DEMARCATION DISTRICT NO. 51),N.A.,N.A.,N.A. | N.A. | N.A.,22.50809165,114.1287414,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/11/1987,auction,NKIL 6032,KOWLOON BAY,OU,special_use_other,22280,470,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/11/1987,auction,FSSTL 30 (LOT 5335 in DD 51),ON LOK TSUEN,I,industrial,2563,18.5,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 30 (LOT NO. 5335 IN DEMARCATION DISTRICT NO. 51),N.A.,N.A.,N.A. | N.A. | N.A.,22.49203316,114.1458449,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/11/1987,auction,STTL 281,YUEN SHUN CIRCUIT,I,industrial,4582,53,,high,,,SHA TIN TOWN LOT NO. 281,N.A.,N.A.,N.A. | N.A. | N.A.,22.38158155,114.2079181,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,27/11/1987,auction,TMTL 296,CASTLE PEAK RD.,R2,residential,19460,265,,high,,,TUEN MUN TOWN LOT NO. 296,N.A.,N.A.,N.A. | N.A. | N.A.,22.38748998,113.9815248,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Handsome Court,,Named development,N.A.
1987-1988,8/12/1987,,STTL 302,TAI CHUNG KIU RD,R2,residential,11110,36.96,,high,,,SHA TIN TOWN LOT NO. 302,N.A.,N.A.,N.A. | N.A. | N.A.,22.39423331,114.2078821,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,8/12/1987,,TPTL 64,AREA 6 - KCR STATION,C/R,commercial_residential_mixed,15220,48,,high,,,TAI PO TOWN LOT NO. 64,N.A.,N.A.,N.A. | N.A. | N.A.,22.44389474,114.1691707,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Uptown Plaza (Common Areas & Common Facilities),,Named development,
1987-1988,9/12/1987,,FSSTL 38,GL IN SHEUNG SHUI AREA 7A,C/R,commercial_residential_mixed,6865,18.8,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 38,N.A.,N.A.,N.A. | N.A. | N.A.,22.50210702,114.1292141,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,11/12/1987,tender,FSSTL 3 (LOT 5345 in 51),ON LOK TSUEN DD,PFS,petrol_or_ev,938,43.8,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,4/1/1988,tender,JBTL 10,"AREA 30/33, JUNK BAY",PSPS,residential,24500,255,,high,,,JUNK BAY TOWN LOT NO. 10,N.A.,N.A.,N.A. | N.A. | N.A.,22.31931135,114.2678289,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,15/01/1988,auction,5352 in DD 51) FSSTL 34 (LOT,ON LOK TSUEN,I,industrial,1120,8.9,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,15/01/1988,auction,LOT 991 in DD 215,TUI MIN HOI,I,industrial,1410,6.5,,high,,,LOT NO. 991 IN DEMARCATION DISTRICT NO. 215,N.A.,N.A.,N.A. | N.A. | N.A.,22.37991551,114.2676061,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,15/01/1988,auction,LOT 1198 in 253,DD PAK SHEK WO,R3,residential,1900,7.6,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,15/01/1988,auction,TMTL 320,AREA 40,I,industrial,8124,109,,high,,,TUEN MUN TOWN LOT NO. 320,N.A.,N.A.,N.A. | N.A. | N.A.,22.36575684,113.9466649,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,26/02/1988,,FSSTL 20,GL IN SHEUNG SHUI AREA 7A,C/R,commercial_residential_mixed,5998,15.99,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 20,N.A.,N.A.,N.A. | N.A. | N.A.,22.50280252,114.1297581,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,Lung Fung Garden (Cinemas 1 & 2 in Level 1 and Level 1 High Level (including their Air-conditioning Plant Rooms in Level 1 and Level 1 High Level) of the Podium of Lung Fung Garden),APPROVAL OF SUB-DEED OF MUTUAL COVENANT,Named development,
1987-1988,26/02/1988,,STTL 303,TAI CHUNG KIU RD,R2,residential,11120,42.28,,high,,,SHA TIN TOWN LOT NO. 303,N.A.,N.A.,N.A. | N.A. | N.A.,22.39504589,114.2087174,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,26/02/1988,,TMTL 313,RD 16C,R1,residential,10410,18.55,,high,,,TUEN MUN TOWN LOT NO. 313,N.A.,N.A.,N.A. | N.A. | N.A.,22.38448109,113.9727993,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,11/3/1988,tender,LOT 1781 in CHEUNG CHAU,"CHUNG HOK RD, CHEUNG CHAU",V,residential,187,2,,high,,,LOT 1781 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.20493908,114.026749,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,11/3/1988,tender,LOT 1782 in CHEUNG CHAU,"CHUNG HOK RD, CHEUNG CHAU",V,residential,240,2.56,,high,,,LOT 1782 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.20478494,114.0268548,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,11/3/1988,tender,TPTL 74,"AREA 2, TAI PO",PFS,petrol_or_ev,870,54.8,,high,,,TAI PO TOWN LOT NO. 74,N.A.,N.A.,N.A. | N.A. | N.A.,22.45404703,114.1635902,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,18/03/1988,tender,TMTL 321,AREA 37A,PFS,petrol_or_ev,526,44,,high,,,TUEN MUN TOWN LOT NO. 321,N.A.,N.A.,N.A. | N.A. | N.A.,22.39410792,113.9771811,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,24/03/1988,auction,FSSTL 17,ON LOK TSUEN,I,industrial,3372,27.5,,high,,,FANLING SHEUNG SHUI TOWN LOT NO. 17,N.A.,N.A.,N.A. | N.A. | N.A.,22.49673801,114.1459411,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,24/03/1988,auction,LOT 788 in DD 216,SHA HA,R3,residential,2601,11.5,,high,,,LOT NO. 788 IN DEMARCATION DISTRICT NO. 216,N.A.,N.A.,N.A. | N.A. | N.A.,22.39104591,114.2744725,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,24/03/1988,auction,STTL 212,SUI WO RD,R4,residential,7181,21.5,,high,,,SHA TIN TOWN LOT NO. 212,N.A.,N.A.,N.A. | N.A. | N.A.,22.39438038,114.1881685,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1987-1988,24/03/1988,auction,TMTL 319,"RD 44K, TUEN MUN",R2,residential,13200,213,,high,,,TUEN MUN TOWN LOT NO. 319,N.A.,N.A.,N.A. | N.A. | N.A.,22.37215857,113.9689237,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1988-1989,6/4/1988,tender,KCL 7,"CONTAINER PORT, KWAI CHUNG",OU,special_use_other,315000,4390,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1988-1989,30/05/1988,auction,FSSTL 29 (LOT 5355 DD 51),ON LOK TSUEN in,I,industrial,1861,21,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1988-1989,30/05/1988,auction,TMTL 316,AREA 40,I,industrial,4953,30,,high,,,TUEN MUN TOWN LOT NO. 316,N.A.,N.A.,N.A. | N.A. | N.A.,22.36635776,113.9465236,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1988-1989,30/05/1988,auction,CWIL 103,CHAI WAN RECLAMATION,I,industrial,4498,173,,high,,,,,,,,,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
1988-1989,24/06/1988,tender,LOT 1762 in CHEUNG CHAU,PAK SHE FIRST LANE CHEUNG CHAU,I,industrial,145,0.42,,high,,,LOT 1762 IN CHEUNG CHAU,N.A.,N.A.,N.A. | N.A. | N.A.,22.21255988,114.0263947,govt-led,FY rule: pre-Application-List era (List began Apr 1999),,,,,,,,,,,,,,,,,,,,,,No consent,
