Unnamed: 0,Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
141,TPTL 188,"Pak Shek Kok Reclamation Phase I, Site C",Residential R2,1.9613 ha,,,February 2006,2005/2006,0
142,TPTL 187,"Pak Shek Kok Reclamation Phase I, Site A",Residential R2,0.9976 ha,,,February 2006,2005/2006,0
143,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4153 ha,,,February 2006,2005/2006,0
144,KIL 11073,"J/O Hoi Wan Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,March 2006,2005/2006,0
145,IL 8949,"21, 23 and 25 Borrett Road, Mid-levels West",Residential R2,1.0488 ha,,,March 2006,2005/2006,0
146,Lot 1950 in DD 221,"Sai Kung Town, Area 4",Commercial,1.7460 ha,,,March 2006,2005/2006,0
147,RBL 1159,"Peak Pavilions, 12 Mt. Kellett Road, The Peak",Residential R3,0.7353 ha,,,Now,2006/2007,1
148,CWIL 175,"Lin Shing Road, Chai Wan",Residential R1,0.2080 ha,,,Now,2006/2007,1
149,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2006/2007,1
150,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,Now,2006/2007,1
151,TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Now,2006/2007,1
152,RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,Now,2006/2007,1
153,RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,Now,2006/2007,1
154,TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2006/2007,1
155,TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,Now,2006/2007,1
156,KIL 11146,"Site E/A3, Hoi Fai Road, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,,,Now,2006/2007,1
157,IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2006/2007,1
158,TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,Now,2006/2007,1
159,Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,Now,2006/2007,1
160,NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,Now,2006/2007,1
161,Lot 2129 DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2006/2007,1
162,NKIL 6313,J/o Cheung Yip Street & Sheung Yee Road,Business,0.3795 ha,,,Now,2006/2007,1
163,TLTL 68,"Tsing Lung Tau, Tsuen Wan (Dragon Villa)",Residential R3,0.2076 ha,,,Now,2006/2007,1
164,STTL 548,"Area 77, Ma On Shan",Residential R2,1.6440 ha,,,Now,2006/2007,1
165,TPTL 188,"Pak Shek Kok Reclamation Phase I, Site C",Residential R2,1.9902 ha,,,Now,2006/2007,1
166,TPTL 187,"Pak Shek Kok Reclamation Phase I, Site A",Residential R2,1.0028 ha,,,Now,2006/2007,1
167,KIL 11073,"J/O Hoi Wang Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,Now,2006/2007,1
168,IL 8949,"21, 23 And 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2006/2007,1
169,IL 9007,103 Mt. Nicholson Road,Residential R3,2.3290 ha,,,July 2006,2006/2007,1
170,AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,August 2006,2006/2007,1
171,IL 8941,"Central Market, Jubilee Street, Central",Commercial,0.4110 ha,,,September 2006,2006/2007,1
172,Lot 1950 DD 221,"Sai Kung Town, Area 4",Commercial,1.7940 ha,,,February 2007,2006/2007,1
173,IL 8920,"Ex-Government Supplies Depot, Oil Street, North Point",Residential / Commercial,1.4667 ha,,,Planning Brief Under Preparation,2006/2007,1
174,IL 8914,Ex-Hollywood Road Police Quarters,Residential R1,0.5818 ha,,,Planning Brief Under Preparation,2006/2007,1
175,Lot 246 DD 331,"Cheung Sha, Lantau Island",Residential R4,0.2240 ha,,,June 2006,2006/2007,0
176,TMTL 449,"Area 58, Tuen Mun (Tsing Fat Street)",Residential R3,1.7040 ha,,,July 2006,2006/2007,0
177,NKIL6374,1 Broadcast Drive,Residential R2,0.6080 ha,,,September 2006,2006/2007,0
178,STTL 433,"Junction of On Kwan Street and On Yiu Street, Area 11, Sha Tin",Business (incl Public Storey Carpark),0.8530 ha,,,September 2006,2006/2007,0
179,KIL 11184,"Ex-Ko Shan Road Customs & Excise Service Married Quarters, 7 Ko Shan Road, Homantin, Hung Hom, Kowloon",Residential R1,0.1880 ha,,,October 2006,2006/2007,0
180,NKIL 6309,"Ex-Wong Tai Sin Police Quarters, 3 Chun Yan Street",Residential R1,0.9470 ha,,,October 2006,2006/2007,0
181,FSSTL 225,"89-95 San Fung Avenue, Shek Wu Hui, Sheung Shui",Residential / Commercial,0.0306 ha,,,October 2006,2006/2007,0
182,TPTL 195,"Former Departmental Quarters, Plover Cove Road, Tai Po",Residential / Commercial,0.2685 ha,,,October 2006,2006/2007,0
183,NKIL 6195,"Cha Kwo Ling Road, Kwun Tong",Commercial,0.4878 ha,,,October 2006,2006/2007,0
184,Lot 676 DD Peng Chau,Peng Chau,Residential R3,0.4640 ha,,,December 2006,2006/2007,0
185,STTL 463,"Junction of On Kwan Street and On Yiu Street, Area 11, Sha Tin",Business,0.7190 ha,,,December 2006,2006/2007,0
186,Lot 245 DD 331,"Cheung Sha, Lantau Island",Residential R4,1.6600 ha,,,January 2007,2006/2007,0
187,Lot 1176 DD 215,"Tui Min Hoi, Sai Kung",Commercial,0.1699 ha,,,February 2007,2006/2007,0
188,NKIL 6269,"Junction of Wai Yip Street, Shun Yip Street and Hoi Bun Road, Kwun Tong",Business,0.7127 ha,,,February 2007,2006/2007,0
189,KIL 11175,"J/O Fat Kwong Street and Chung Hau Streeet, Homantin (Ex-Valley Road Estate Ph 2)",Residential R1,1.6291 ha,,,March 2007,2006/2007,0
190,TCTL 22,"Tung Chung Area 56, Lantau Island",Residential R2,3.3337 ha,,,March 2007,2006/2007,0
191,NKIL 6314,"Junction of Kai Cheung Road and Wang Kwong Road, Kowloon Bay",Commercial,0.6623 ha,,,March 2007,2006/2007,0
192,NKIL 6306,"1 Ede Road, Kowloon Tong",Residential R3,0.2399 ha,,,Now,2007/2008,1
193,NKIL 6423,"3 and 5 Ede Road, Kowloon Tong",Residential R3,0.3528 ha,,,Now,2007/2008,1
194,RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,Now,2007/2008,1
195,RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,Now,2007/2008,1
196,TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2007/2008,1
197,KIL 11146,"Hoi Fai Road, West Kowloon Reclamation Site B1",Residential R1,1.1353 ha,,,Now,2007/2008,1
198,IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2007/2008,1
199,TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,Now,2007/2008,1
200,Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,Now,2007/2008,1
201,Lot 2129 DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2007/2008,1
202,KIL 11073,"J/O Hoi Wang Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,Now,2007/2008,1
203,IL 8949,"21, 23 And 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2007/2008,1
204,IL 9007,103 Mt. Nicholson Road,Residential R3,2.3312 ha,,,Now,2007/2008,1
205,AIL 451,"Welfare Road, Aberdeen",Residential R1,0.6403 ha,,,Now,2007/2008,1
