Lot Number,Location,User,Site Area,Plot Ratio,Deposit (HK$ M),Estimated Earliest Site Available Date,Period,Rolled over
TSWTL 26,"Area 108A, Tin Shui Wai",Commercial,0.6500 ha,,,Now,2006/2007,1
RBL 1165,"Near 110, Repulse Bay Road",Residential R3,0.4250 ha,,,Now,2006/2007,1
RBL 1168,Near 35 South Bay Road,Residential R3,0.1460 ha,,,Now,2006/2007,1
TPTL 166,"Po Heung Street, Tai Po",Residential / Commercial (Including Public Car Park),0.3325 ha,,,Now,2006/2007,1
TWTL 393,"Yeung Uk Road, Tsuen Wan",Commercial,1.4160 ha,,,Now,2006/2007,1
KIL 11146,"Site E/A3, Hoi Fai Road, West Kowloon Reclamation (Site B1)",Residential R1,1.1353 ha,,,Now,2006/2007,1
IL 8872,"Hospital Road, Hong Kong",Residential R1,0.0573 ha,,,Now,2006/2007,1
TMTL 422,"Area 58, Tuen Mun (Ex-Pearl Island Quarters)",Residential R3,1.5030 ha,,,Now,2006/2007,1
Lot 1848 DD Cheung Chau,"Sai Wan, Shui Hang, Cheung Chau",Residential R4,1.0382 ha,,,Now,2006/2007,1
NKIL 6311,"J/o Sheung Yuet Road, Wang Tai Road & Wang Yuen Street",Business,0.2579 ha,,,Now,2006/2007,1
Lot 2129 DD 121,"Ping Kwai Road, Ping Shan, Yuen Long",Residential R3,0.6076 ha,,,Now,2006/2007,1
NKIL 6313,J/o Cheung Yip Street & Sheung Yee Road,Business,0.3795 ha,,,Now,2006/2007,1
TLTL 68,"Tsing Lung Tau, Tsuen Wan (Dragon Villa)",Residential R3,0.2076 ha,,,Now,2006/2007,1
STTL 548,"Area 77, Ma On Shan",Residential R2,1.6440 ha,,,Now,2006/2007,1
TPTL 188,"Pak Shek Kok Reclamation Phase I, Site C",Residential R2,1.9902 ha,,,Now,2006/2007,1
TPTL 187,"Pak Shek Kok Reclamation Phase I, Site A",Residential R2,1.0028 ha,,,Now,2006/2007,1
KIL 11073,"J/O Hoi Wang Road, Yan Cheung Road and Yau Cheung Road, West Kowloon Reclamation",Residential R1,0.8060 ha,,,Now,2006/2007,1
IL 8949,"21, 23 And 25 Borrett Road, Mid-Levels West",Residential R2,1.0488 ha,,,Now,2006/2007,1
IL 9007,103 Mt. Nicholson Road,Residential R3,2.3290 ha,,,Jul-2006,2006/2007,1
